sequence,recorded_at_utc,current_ma,voltage_mv,power_mw,rolling_average_ma,rolling_window_count,sensor_source,data_quality_flags,run_id,jetson_id,boot_id
52,2026-08-01T17:15:44.555Z,1984,4968,9857,1920.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
53,2026-08-01T17:15:49.559Z,1952,4968,9698,1922.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
54,2026-08-01T17:15:54.564Z,1944,4968,9658,1926.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
55,2026-08-01T17:15:59.569Z,1904,4968,9459,1926.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
56,2026-08-01T17:16:04.574Z,1928,4968,9578,1928.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
57,2026-08-01T17:16:09.579Z,1912,4968,9499,1932.0,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
58,2026-08-01T17:16:14.583Z,1944,4968,9658,1936.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
59,2026-08-01T17:16:19.588Z,1920,4968,9539,1940.0,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
60,2026-08-01T17:16:24.593Z,1912,4968,9499,1936.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
61,2026-08-01T17:16:29.595Z,1888,4968,9380,1928.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
62,2026-08-01T17:16:34.599Z,1920,4968,9539,1922.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
63,2026-08-01T17:16:39.603Z,1888,4968,9380,1916.0,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
64,2026-08-01T17:16:44.607Z,1904,4968,9459,1912.0,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
65,2026-08-01T17:16:49.612Z,1872,4968,9300,1908.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
66,2026-08-01T17:16:54.617Z,1904,4968,9459,1906.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
67,2026-08-01T17:16:59.619Z,1888,4968,9380,1904.0,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
68,2026-08-01T17:17:04.623Z,1896,4968,9419,1899.2,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
69,2026-08-01T17:17:09.628Z,1872,4968,9300,1894.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
70,2026-08-01T17:17:14.634Z,1896,4968,9419,1892.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
71,2026-08-01T17:17:19.638Z,1912,4968,9499,1895.2,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
72,2026-08-01T17:17:24.643Z,1912,4968,9499,1894.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
73,2026-08-01T17:17:29.647Z,1976,4968,9817,1903.2,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
74,2026-08-01T17:17:34.651Z,2016,4968,10015,1914.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
75,2026-08-01T17:17:39.656Z,1968,4968,9777,1924.0,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
76,2026-08-01T17:17:44.659Z,1936,4968,9618,1927.2,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
77,2026-08-01T17:17:49.664Z,1944,4968,9658,1932.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
78,2026-08-01T17:17:54.669Z,1920,4968,9539,1935.2,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
79,2026-08-01T17:17:59.671Z,1920,4968,9539,1940.0,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
80,2026-08-01T17:18:04.675Z,1904,4968,9459,1940.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
81,2026-08-01T17:18:09.679Z,1912,4968,9499,1940.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
82,2026-08-01T17:18:14.683Z,1896,4968,9419,1939.2,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
83,2026-08-01T17:18:19.687Z,1912,4968,9499,1932.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
84,2026-08-01T17:18:24.691Z,1896,4968,9419,1920.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
85,2026-08-01T17:18:29.695Z,1904,4968,9459,1914.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
86,2026-08-01T17:18:34.699Z,1880,4968,9340,1908.8,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
87,2026-08-01T17:18:39.703Z,1912,4968,9499,1905.6,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
88,2026-08-01T17:18:44.707Z,1960,4968,9737,1909.6,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
89,2026-08-01T17:18:49.711Z,2008,4968,9976,1918.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
90,2026-08-01T17:18:54.715Z,1984,4968,9857,1926.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
91,2026-08-01T17:18:59.719Z,1952,4968,9698,1930.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
92,2026-08-01T17:19:04.723Z,1936,4968,9618,1934.4,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
93,2026-08-01T17:19:09.727Z,1944,4968,9658,1937.6,10,/sys/bus/i2c/drivers/ina3221/1-0040/hwmon/hwmon1,POWER_DERIVED_FROM_CURRENT_AND_VOLTAGE,baseline-noSEE-full-01,orin-nano-01,08493c04-ea69-45ca-948b-6993521ce06d
